96980829,Shock Absorber Back Gas + Oil,539,KievAuto
343423,Shock Absorber Back Gas + Oil,800,KievAuto
96410116,Shock Absorber Back Gas + Oil,794,KievAuto
96449571,Shock absorber rear oil,677,KievAuto
96653235,Shock absorber rear oil,418,KievAuto
443399,Shock Absorber Rear Right Gas + Oil,706,KievAuto
96408735,Shock absorber boot,432,KievAuto
96540939,"Front shock absorber, left (gas-oil)",284,KievAuto
333418,"Front shock absorber, left (gas-oil)",1036,KievAuto
96653293,"Front shock absorber, left (oil) with ABS",643,KievAuto
96653233,"Shock absorber front, right (gas oil)",611,KievAuto
96653294,"Front shock absorber, right (oil)",643,KievAuto
96586888,"Shock Absorber front, right (oil) with ABS",818,KievAuto
96653234,Shock absorber front left Aveo CAR-MDO Korea,611,KievAuto
96586885,Shock absorber front left gas + oil,915,KievAuto
96449543,Shock absorber front left gas + oil,638,KievAuto
333418,Shock absorber front left oil,1145,KievAuto
96653233,Shock absorber front left oil (with ABS),511,KievAuto
96586885,Shock absorber front left oil (with ABS),1117,KievAuto